,MAE,RMSE,MAPE,R,Type,Time
EfficientPhystn_RLAP_MMPD.h5,16.025±0.236,25.636±3.787,18.472±0.266,0.27966,Window,2024-10-28 17:49:13
EfficientPhystn_RLAP_MMPD.h5,10.678±0.502,16.709±4.93,11.968±0.513,0.47266,Whole,2024-10-28 17:49:13
EfficientPhystn_RLAP_COHFACE.h5,3.426±0.195,9.022±2.919,4.703±0.261,0.74072,Window,2024-10-28 17:49:47
EfficientPhystn_RLAP_COHFACE.h5,2.599±0.404,5.793±3.543,3.531±0.5,0.87644,Whole,2024-10-28 17:49:47
EfficientPhystn_RLAP_PURE.h5,0.601±0.054,1.607±0.881,0.891±0.082,0.99755,Window,2024-10-28 17:49:56
EfficientPhystn_RLAP_PURE.h5,0.298±0.062,0.562±0.394,0.428±0.104,0.9997,Whole,2024-10-28 17:49:56
EfficientPhystn_RLAP_UBFC.h5,1.322±0.086,2.37±1.023,1.351±0.088,0.99035,Window,2024-10-28 17:50:03
EfficientPhystn_RLAP_UBFC.h5,0.518±0.087,0.763±0.461,0.528±0.084,0.99917,Whole,2024-10-28 17:50:03
TNTS-SAN-F2W_RLAP_MMPD.h5,14.43±0.221,23.645±3.604,16.639±0.25,0.3434,Window,2024-10-30 21:58:30
TNTS-SAN-F2W_RLAP_MMPD.h5,9.466±0.445,14.813±4.317,10.621±0.456,0.56869,Whole,2024-10-30 21:58:30
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.816±0.215,9.941±3.101,5.24±0.294,0.69392,Window,2024-10-30 21:58:41
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.818±0.383,5.659±2.956,3.791±0.495,0.88127,Whole,2024-10-30 21:58:41
TNTS-SAN-F2W_RLAP_PURE.h5,0.597±0.059,1.736±0.907,0.895±0.094,0.99713,Window,2024-10-30 21:58:46
TNTS-SAN-F2W_RLAP_PURE.h5,0.324±0.085,0.731±0.566,0.488±0.152,0.9995,Whole,2024-10-30 21:58:46
TNTS-SAN-F2W_RLAP_UBFC.h5,1.337±0.095,2.557±1.137,1.369±0.099,0.98872,Window,2024-10-30 21:58:49
TNTS-SAN-F2W_RLAP_UBFC.h5,0.578±0.096,0.847±0.477,0.588±0.095,0.99892,Whole,2024-10-30 21:58:49
TNTS-SAN-F2W_RLAP_MMPD.h5,14.43±0.221,23.645±3.604,16.639±0.25,0.3434,Window,2024-10-30 21:59:33
